Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.9,1.5099e-14,0.5,0,0.0567746,0
2,0.000999855,6.88046e-06,0.000999475,1.65862e-05,0.899913,0.00275537,0.499984,0.00164656,0.0567746,0
3,0.00100054,1.51675e-05,0.000999694,1.73142e-05,0.899957,0.00135497,0.499928,0.00209344,0.0567746,0
4,0.00099981,5.99132e-06,0.000999257,2.44047e-05,0.899908,0.00205789,0.499839,0.00230118,0.0567746,0
5,0.00100003,3.10292e-05,0.000999963,3.26978e-05,0.899994,0.00169686,0.499823,0.00410116,0.0567746,0
6,0.000999479,1.84442e-05,0.00099976,4.09825e-05,0.900007,0.00190671,0.499758,0.00311052,0.0567746,0
7,0.000998709,2.35307e-05,0.00100067,3.54772e-05,0.899943,0.00137845,0.499626,0.00353353,0.0567746,0
8,0.000998279,2.71573e-05,0.00100076,4.36124e-05,0.89978,0.00400115,0.499601,0.0036419,0.0567746,0
9,0.000997522,3.33961e-05,0.00100079,4.3257e-05,0.899882,0.00195309,0.499528,0.00395522,0.0567746,0
10,0.000997806,5.08e-05,0.00100277,6.09896e-05,0.899864,0.00206601,0.499486,0.00410434,0.0567746,0
11,0.000996817,3.8802e-05,0.00100036,5.54648e-05,0.899856,0.00216348,0.499471,0.0054216,0.0567746,0
12,0.000996745,4.36481e-05,0.00100119,5.16197e-05,0.899873,0.00183008,0.499304,0.0068288,0.0567746,0
13,0.000996447,5.76163e-05,0.00100052,4.94865e-05,0.899939,0.00199121,0.499541,0.00513882,0.0567746,0
14,0.000997212,6.47497e-05,0.00100175,3.81364e-05,0.899876,0.00294717,0.499019,0.00706558,0.0567746,0
15,0.000997074,7.57466e-05,0.00100236,3.47328e-05,0.899985,0.00171064,0.499025,0.00840677,0.0567746,0
16,0.00099436,0.000107004,0.00100204,3.79496e-05,0.899999,0.00170487,0.498948,0.00817326,0.0567746,0
17,0.000994091,0.000125387,0.00100403,4.60565e-05,0.899954,0.00325938,0.498756,0.00944176,0.0567746,0
18,0.000997295,0.000112949,0.0010052,5.69739e-05,0.900211,0.00303166,0.4993,0.0076392,0.0567746,0
19,0.00100386,0.000114133,0.00100712,6.10913e-05,0.900243,0.00338605,0.499223,0.0078648,0.0567746,0
20,0.00100506,0.000118623,0.00100206,5.66147e-05,0.900182,0.00360673,0.498961,0.0096203,0.0567746,0
21,0.00100851,0.000136283,0.00100272,5.73901e-05,0.899977,0.00309301,0.498915,0.00998706,0.0567746,0
22,0.00100898,0.000148788,0.00100256,5.65385e-05,0.899997,0.000779354,0.4982,0.0121777,0.0567746,0
23,0.00100275,0.000128471,0.00100109,5.99667e-05,0.899987,0.000748096,0.498208,0.0114792,0.0567746,0
24,0.00100452,0.000124478,0.00100183,5.67966e-05,0.899964,0.00103478,0.497951,0.0123125,0.0567746,0
25,0.00100335,0.000121373,0.00100191,5.12283e-05,0.899992,0.00156,0.496735,0.0156558,0.0567746,0
26,0.00100509,0.000117007,0.00100112,3.80923e-05,0.899769,0.00803178,0.496376,0.0152741,0.0567746,0
27,0.00100503,0.000117873,0.00100099,4.30241e-05,0.899769,0.00789637,0.495991,0.0158699,0.0567746,0
28,0.00100192,0.000103648,0.00100217,5.04271e-05,0.899754,0.0077733,0.495314,0.0170875,0.0567746,0
29,0.0010003,9.99812e-05,0.00100322,5.12004e-05,0.9,1.5099e-14,0.493629,0.0197645,0.0567746,0
30,0.000997274,9.50359e-05,0.000999794,4.24554e-05,0.900025,0.000792398,0.493703,0.0199873,0.0567746,0
31,0.000996314,0.000102837,0.00100162,6.39495e-05,0.899916,0.0039244,0.493299,0.0205335,0.0567746,0
32,0.00100009,0.000105997,0.00100094,7.50649e-05,0.899966,0.00408215,0.491419,0.0239701,0.0567746,0
33,0.000999953,0.000103984,0.000999991,5.95854e-05,0.899981,0.00206396,0.490295,0.0253804,0.0567746,0
34,0.00100311,0.000127215,0.000996725,3.92413e-05,0.900063,0.00247567,0.489946,0.0253774,0.0567746,0
35,0.00100115,0.000116502,0.000994505,4.42599e-05,0.900106,0.00298518,0.488291,0.0268287,0.0567746,0
36,0.00100209,0.000124789,0.000995478,4.19641e-05,0.900075,0.00385639,0.485951,0.0287768,0.0567746,0
37,0.00100695,0.000137732,0.000996544,3.94261e-05,0.899963,0.00314981,0.483217,0.0308325,0.0567746,0
38,0.00100842,0.000133653,0.000994928,4.316e-05,0.899941,0.00311041,0.480864,0.0324623,0.0567746,0
39,0.00100322,0.000119866,0.000996291,4.93721e-05,0.899874,0.00420076,0.478845,0.03321,0.0567746,0
40,0.00100396,0.000122079,0.000995849,4.78066e-05,0.899862,0.00255778,0.4761,0.0341858,0.0567746,0
41,0.00100083,0.000103592,0.00099786,5.01891e-05,0.899811,0.00271791,0.473581,0.0348847,0.0567746,0
42,0.00100135,0.00010927,0.00100096,7.48982e-05,0.899827,0.0027776,0.471606,0.0358891,0.0567746,0
43,0.00100208,0.000102933,0.0010079,9.4461e-05,0.899831,0.00310799,0.469511,0.0365533,0.0567746,0
44,0.00100133,9.99242e-05,0.00100491,7.23998e-05,0.899848,0.00285654,0.467922,0.0371244,0.0567746,0
45,0.00100555,0.000109024,0.0010072,8.80805e-05,0.89999,0.00335146,0.464278,0.0383092,0.0567746,0
46,0.00100276,8.84764e-05,0.0010082,0.000104378,0.899989,0.00526556,0.460482,0.0387872,0.0567746,0
47,0.00100757,8.87548e-05,0.00100671,0.000111333,0.899651,0.00736388,0.458342,0.0390974,0.179255,0
48,0.00100884,8.89186e-05,0.00100481,9.34832e-05,0.899766,0.00753965,0.455624,0.039427,0.179255,0
49,0.00100943,9.00412e-05,0.00100131,0.000110513,0.899426,0.00841729,0.455938,0.039967,0.179255,0
50,0.00101111,9.35679e-05,0.00100154,0.000102706,0.899808,0.00702844,0.453734,0.0397119,0.179255,0
