Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.9,1.5099e-14,0.5,0,0.912564,0
2,0.00100102,3.20891e-05,0.000998442,3.21061e-05,0.9,1.5099e-14,0.499935,0.0025558,0.912564,0
3,0.00100038,3.78229e-05,0.000998952,2.57292e-05,0.9,1.5099e-14,0.50005,0.00157806,0.912564,0
4,0.0010014,4.95934e-05,0.000999828,5.42928e-05,0.899969,0.00096601,0.500038,0.00121526,0.912564,0
5,0.00100102,3.20891e-05,0.00100214,8.54205e-05,0.899969,0.00096601,0.500075,0.001943,0.912564,0
6,0.00100102,3.20891e-05,0.00100124,6.92396e-05,0.899939,0.00136546,0.500056,0.000878031,0.912564,0
7,0.00100109,3.21738e-05,0.000998026,3.27106e-05,0.899977,0.0009948,0.500086,0.00113373,0.912564,0
8,0.00100314,5.59469e-05,0.000997422,3.77984e-05,0.900079,0.00141161,0.500051,0.000811284,0.912564,0
9,0.0010051,7.19015e-05,0.000999403,1.90037e-05,0.900037,0.000633575,0.500027,0.000598327,0.912564,0
10,0.00100713,8.46441e-05,0.000997839,3.65119e-05,0.900052,0.000715674,0.499853,0.00348933,0.912564,0
11,0.00100815,9.04434e-05,0.000998498,3.47046e-05,0.900076,0.00106551,0.499816,0.00423791,0.912564,0
12,0.00100841,9.74229e-05,0.000998951,2.94291e-05,0.899841,0.00551337,0.499898,0.00547553,0.912564,0
13,0.00101005,0.000108786,0.00099709,5.94892e-05,0.900008,0.00118283,0.500142,0.00504077,0.912564,0
14,0.00100827,9.87717e-05,0.000999119,6.57905e-05,0.90001,0.00119383,0.500369,0.00548223,0.912564,0
15,0.00101363,0.000119992,0.00100303,7.19328e-05,0.900097,0.00193516,0.500424,0.00492703,0.912564,0
16,0.00101834,0.000134976,0.0010054,8.01717e-05,0.900314,0.00354286,0.500446,0.0057188,0.912564,0
17,0.00101532,0.000123404,0.0010043,8.39674e-05,0.900137,0.00284121,0.500401,0.00443069,0.912564,0
18,0.00101944,0.000138598,0.00100618,9.22597e-05,0.899963,0.00312105,0.500445,0.00463928,0.912564,0
19,0.00102154,0.000145555,0.00100604,9.26501e-05,0.899923,0.00300137,0.500355,0.00374907,0.912564,0
20,0.00102152,0.000145557,0.00100192,7.70425e-05,0.89989,0.00286378,0.500159,0.00188813,0.912564,0
21,0.00102531,0.000155955,0.000995771,6.67841e-05,0.899838,0.00521765,0.500174,0.00194111,0.912564,0
22,0.00101661,0.000124487,0.000993634,7.67064e-05,0.900019,0.00217782,0.500115,0.00128373,0.912564,0
23,0.00102096,0.00013814,0.000996455,0.000170804,0.900027,0.00238429,0.500101,0.00120143,0.912564,0
24,0.00102374,0.000156547,0.000998267,0.000165876,0.900033,0.00277702,0.500018,0.00335357,0.912564,0
25,0.00101559,0.000131933,0.000998417,0.00016414,0.900044,0.00319922,0.499965,0.00428937,0.912564,0
26,0.00101419,0.000122008,0.000999552,0.000159887,0.899975,0.00321367,0.49998,0.003483,0.912564,0
27,0.00100927,0.000104459,0.000994021,6.57207e-05,0.899833,0.00279216,0.500054,0.00261786,0.912564,0
28,0.00101121,0.000108657,0.000995609,5.10525e-05,0.899928,0.00334812,0.499964,0.00357358,0.912564,0
29,0.0010091,0.000105338,0.000998263,3.52714e-05,0.899961,0.00324534,0.499821,0.00454956,0.912564,0
30,0.00101871,0.000145985,0.000997419,6.63125e-05,0.899995,0.00286567,0.499984,0.00401333,0.912564,0
31,0.00101605,0.000138579,0.000996595,4.12097e-05,0.90015,0.00364872,0.500024,0.00349456,0.912564,0
32,0.00101511,0.000129055,0.000997776,2.94711e-05,0.90012,0.00330587,0.499961,0.00377848,0.912564,0
33,0.00101333,0.000120509,0.000996624,3.52025e-05,0.900267,0.00363291,0.499881,0.00401615,0.912564,0
34,0.00101273,0.000121621,0.000997261,3.36163e-05,0.900432,0.0043555,0.499804,0.00441689,0.912564,0
35,0.00101278,0.000121493,0.000997979,2.77129e-05,0.900548,0.00452487,0.500202,0.00243346,0.912564,0
36,0.00101548,0.000131305,0.000998632,2.49834e-05,0.900701,0.00502559,0.500101,0.0027303,0.912564,0
37,0.00101515,0.000129347,0.000999336,3.08776e-05,0.900615,0.00646489,0.500182,0.00263158,0.912564,0
38,0.00101676,0.00014054,0.000998945,3.32467e-05,0.900154,0.00830954,0.500159,0.0016334,0.912564,0
39,0.00101522,0.000135104,0.000997846,4.13582e-05,0.900276,0.00624055,0.500013,0.00183949,0.912564,0
40,0.00101387,0.000135047,0.0010002,2.94047e-05,0.900325,0.00669494,0.500171,0.00248574,0.912564,0
41,0.00101807,0.00015371,0.00100063,3.42674e-05,0.900531,0.00584312,0.500131,0.00229511,0.912564,0
42,0.00102629,0.000173323,0.00100089,3.72747e-05,0.900488,0.00561289,0.500047,0.00425674,0.912564,0
43,0.00101763,0.00015278,0.0010015,5.08898e-05,0.900501,0.00458954,0.500034,0.00363362,0.912564,0
44,0.00101597,0.000161057,0.000999549,4.41823e-05,0.900499,0.00519104,0.4999,0.00539124,0.912564,0
45,0.0010205,0.000180038,0.000998367,4.1582e-05,0.900621,0.00581203,0.499547,0.00675035,0.912564,0
46,0.00102991,0.0002147,0.000998844,5.14273e-05,0.900653,0.00639885,0.499691,0.00808509,0.912564,0
47,0.00103346,0.000223499,0.000998166,5.57454e-05,0.900807,0.00603204,0.499864,0.00507305,0.912564,0
48,0.00102966,0.000195825,0.000996191,5.23624e-05,0.900667,0.00559847,0.500016,0.00483545,0.912564,0
49,0.00104196,0.000219119,0.000994827,5.29275e-05,0.90058,0.00520092,0.50026,0.00410401,0.912564,0
50,0.00103184,0.000184434,0.000997971,7.56672e-05,0.900467,0.00483954,0.500367,0.00410587,0.912564,0
