Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.1,1.41553e-15,0.5,0,0.360133,0
2,0.001,6.50521e-19,0.0009991,2.05384e-05,0.0999745,0.00161097,0.499944,0.00176502,0.360133,0
3,0.00100046,1.45477e-05,0.00099868,2.44489e-05,0.100027,0.000690491,0.499863,0.00432602,0.360133,0
4,0.00100022,3.02913e-05,0.000998868,2.07035e-05,0.100029,0.00221402,0.499698,0.00617912,0.360133,0
5,0.00100114,3.66061e-05,0.000999555,1.52684e-05,0.0999855,0.0029557,0.49956,0.0075409,0.360133,0
6,0.0010009,4.52356e-05,0.000999466,1.84344e-05,0.100002,0.00261743,0.499697,0.00618334,0.360133,0
7,0.0010009,4.52356e-05,0.000999009,2.27788e-05,0.100092,0.00270497,0.499436,0.00865297,0.360133,0
8,0.00100087,6.05779e-05,0.000999076,3.71251e-05,0.100147,0.00292566,0.499339,0.00891682,0.360133,0
9,0.00100157,5.63386e-05,0.000999947,3.37644e-05,0.100145,0.00265544,0.499059,0.0105222,0.360133,0
10,0.000999733,4.82604e-05,0.000998815,2.44267e-05,0.100128,0.0029196,0.498798,0.0121399,0.360133,0
11,0.000998812,4.36352e-05,0.000997705,2.99913e-05,0.100052,0.00163884,0.498922,0.011411,0.360133,0
12,0.00099974,4.08496e-05,0.000997595,3.8948e-05,0.100028,0.00180738,0.498893,0.0119218,0.360133,0
13,0.00100068,3.36005e-05,0.000999591,2.46645e-05,0.100045,0.00267651,0.499353,0.0093589,0.360133,0
14,0.000999044,3.52923e-05,0.000999321,3.22599e-05,0.100024,0.00170986,0.499342,0.00989175,0.360133,0
15,0.000996515,5.00574e-05,0.00099591,3.98074e-05,0.0999759,0.000760478,0.499192,0.0108294,0.360133,0
16,0.000997443,8.42249e-05,0.000996622,4.18085e-05,0.1,1.41553e-15,0.499217,0.0101656,0.360133,0
17,0.000995333,5.33016e-05,0.000995688,5.02614e-05,0.0999746,0.000802219,0.499525,0.00902003,0.360133,0
18,0.000997132,4.60384e-05,0.000996598,3.50093e-05,0.0999145,0.00157687,0.499009,0.0110622,0.360133,0
19,0.000998093,4.65668e-05,0.000998023,4.95925e-05,0.0999052,0.0017453,0.498976,0.0103764,0.360133,0
20,0.000997131,5.35771e-05,0.000997056,6.76461e-05,0.100049,0.0048637,0.499198,0.0101765,0.360133,0
21,0.000997719,4.31497e-05,0.000996187,5.58483e-05,0.0999529,0.00148892,0.499327,0.00795782,0.360133,0
22,0.000998595,5.0584e-05,0.00099512,5.90706e-05,0.0999058,0.00210459,0.499231,0.00810842,0.360133,0
23,0.000997608,5.73554e-05,0.000994764,6.01022e-05,0.0999529,0.00148892,0.499551,0.00638214,0.360133,0
24,0.000996482,4.01984e-05,0.000994742,6.02365e-05,0.0999453,0.00172829,0.499923,0.00522718,0.360133,0
