Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.9,1.5099e-14,0.5,0,0.0718748,0
2,0.000999655,2.13651e-05,0.000999873,6.30803e-06,0.899912,0.00211282,0.500025,0.000783981,0.0718748,0
3,0.001,6.50521e-19,0.00100006,6.70705e-06,0.899992,0.000935089,0.500032,0.00215176,0.0718748,0
4,0.001,6.50521e-19,0.000999865,5.75771e-06,0.899956,0.00305366,0.499837,0.00429608,0.0718748,0
5,0.00100054,1.69578e-05,0.00100014,1.06664e-05,0.899972,0.0046484,0.499532,0.0082738,0.0718748,0
6,0.00100054,1.69578e-05,0.000999907,1.18388e-05,0.900005,0.00455876,0.499112,0.00913177,0.0718748,0
7,0.00100107,2.39699e-05,0.00100052,1.85e-05,0.900157,0.00299363,0.498851,0.0103302,0.0718748,0
8,0.00100053,1.69606e-05,0.00100031,1.9647e-05,0.900131,0.00227825,0.498665,0.0107078,0.0718748,0
9,0.00100108,2.40366e-05,0.000999913,1.15603e-05,0.900126,0.00229264,0.498228,0.0122982,0.0718748,0
10,0.00100184,4.30759e-05,0.00100082,3.28652e-05,0.900107,0.00345297,0.498747,0.0109847,0.0718748,0
11,0.00100231,5.62826e-05,0.000999005,2.18939e-05,0.900261,0.00334297,0.49839,0.012703,0.0718748,0
12,0.00100057,4.37591e-05,0.000999005,2.18939e-05,0.900464,0.00429455,0.498231,0.0140092,0.0718748,0
13,0.00100137,4.66976e-05,0.000999236,1.70642e-05,0.900441,0.00425525,0.49794,0.0144803,0.0718748,0
14,0.00100267,5.75183e-05,0.000999592,1.20989e-05,0.90029,0.00340152,0.497698,0.0160415,0.0718748,0
15,0.00100281,6.05853e-05,0.000999185,1.71007e-05,0.900181,0.00306723,0.497854,0.0145801,0.0718748,0
16,0.000999452,3.81191e-05,0.000999133,1.7137e-05,0.90015,0.00293578,0.497317,0.0158181,0.0718748,0
17,0.00100032,5.08923e-05,0.000998343,2.41686e-05,0.900222,0.00328374,0.496385,0.0184431,0.0718748,0
18,0.00100278,5.39361e-05,0.000999689,3.83838e-05,0.90041,0.00392355,0.495709,0.0198886,0.0718748,0
19,0.00100245,4.69593e-05,0.000999818,4.4355e-05,0.900441,0.004437,0.495212,0.0205975,0.0718748,0
20,0.00100175,4.04911e-05,0.000999621,4.50658e-05,0.900288,0.00389154,0.49319,0.0239938,0.0718748,0
21,0.00100436,5.02832e-05,0.000998114,3.84689e-05,0.900199,0.00277998,0.490795,0.0272414,0.0718748,0
22,0.00100878,8.14401e-05,0.000996609,4.80847e-05,0.900039,0.00463636,0.48915,0.0291941,0.0718748,0
23,0.00101548,0.000116625,0.00099518,4.74137e-05,0.899974,0.00369419,0.487229,0.0315217,0.0718748,0
24,0.00101386,9.69091e-05,0.000994373,5.47976e-05,0.900077,0.00226907,0.484775,0.034053,0.0718748,0
25,0.00101482,9.16846e-05,0.000996446,4.95169e-05,0.900077,0.00302783,0.482687,0.0357922,0.0718748,0
26,0.00101406,9.62487e-05,0.000996553,4.56487e-05,0.900092,0.00309545,0.480496,0.0380421,0.0718748,0
27,0.00102385,0.000158842,0.000995934,5.47986e-05,0.900041,0.00355281,0.477711,0.0396698,0.0718748,0
28,0.00102538,0.000153611,0.000997802,4.37141e-05,0.900164,0.00437698,0.474655,0.0409976,0.0718748,0
