Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.1,1.41553e-15,0.5,0,0.20192,0
2,0.000998673,1.89885e-05,0.000999753,7.79198e-06,0.1,1.41553e-15,0.5,0,0.20192,0
3,0.000998917,1.73709e-05,0.00100041,2.20572e-05,0.100002,6.61914e-05,0.500049,0.00171277,0.20192,0
4,0.000997679,2.67471e-05,0.0010003,1.90763e-05,0.09997,0.00164149,0.500092,0.00242715,0.20192,0
5,0.000996438,3.70784e-05,0.00100142,3.95435e-05,0.09997,0.00164149,0.500043,0.00172095,0.20192,0
6,0.000997838,8.53659e-05,0.00100134,4.84693e-05,0.100019,0.000540433,0.499995,0.000166093,0.20192,0
7,0.00099884,0.000116796,0.00100159,5.0197e-05,0.100006,0.000114532,0.499976,0.00163767,0.20192,0
8,0.000994829,4.80708e-05,0.00100258,7.07098e-05,0.0999283,0.00301435,0.499947,0.00188404,0.20192,0
9,0.000995452,4.51743e-05,0.00100537,7.68255e-05,0.0999015,0.00324756,0.500001,0.00182823,0.20192,0
10,0.000994045,5.04705e-05,0.00100499,6.03737e-05,0.0998575,0.00288672,0.499873,0.00245267,0.20192,0
11,0.000995339,4.7235e-05,0.00100904,7.9636e-05,0.0999207,0.00471247,0.499917,0.00200745,0.20192,0
12,0.000994746,5.15242e-05,0.00100554,5.64798e-05,0.099761,0.00361673,0.499908,0.00201976,0.20192,0
13,0.000993552,5.59098e-05,0.00101078,8.34606e-05,0.0997811,0.00358396,0.499836,0.0030284,0.20192,0
14,0.000992867,5.48999e-05,0.00100932,7.97029e-05,0.0999623,0.00206763,0.499896,0.0023132,0.20192,0
15,0.000990081,6.77285e-05,0.00100929,9.38811e-05,0.0998198,0.00401361,0.499688,0.00419905,0.20192,0
16,0.000986752,7.38923e-05,0.00100913,0.00010166,0.0999654,0.00406991,0.499403,0.00614772,0.20192,0
17,0.000986547,6.86079e-05,0.00100522,0.000108078,0.0999099,0.00355679,0.49987,0.00431235,0.20192,0
18,0.000988781,6.42998e-05,0.00100358,0.000129153,0.0996171,0.00380648,0.499888,0.00265384,0.20192,0
19,0.00098961,6.27954e-05,0.00100517,0.000106746,0.0995869,0.00377993,0.499784,0.00339746,0.20192,0
20,0.000992667,5.23112e-05,0.00100483,0.000134343,0.0997658,0.00320168,0.499786,0.00424529,0.20192,0
21,0.000994958,7.82313e-05,0.00101045,0.000164363,0.0996721,0.0031403,0.499771,0.00432734,0.20192,0
22,0.000995893,5.32555e-05,0.00101306,0.00014931,0.0995824,0.00313855,0.499778,0.0048683,0.20192,0
23,0.000998359,5.18358e-05,0.00101359,0.000135801,0.0996883,0.00256897,0.500176,0.00609413,0.20192,0
24,0.000996484,6.99174e-05,0.00101054,0.000108476,0.0997306,0.0023954,0.499888,0.00599185,0.20192,0
25,0.000998538,6.77441e-05,0.00101388,0.000122739,0.0996032,0.00345392,0.499852,0.00673631,0.20192,0
26,0.000996699,6.35516e-05,0.00101987,0.000139941,0.0993458,0.0053082,0.499839,0.00357907,0.20192,0
27,0.000998358,6.922e-05,0.0010256,0.000138329,0.0993795,0.00446258,0.499455,0.0060934,0.20192,0
28,0.000996103,5.95428e-05,0.00102848,0.000135205,0.0994264,0.004306,0.499634,0.00496241,0.20192,0
29,0.000997273,6.91626e-05,0.00103571,0.000152914,0.0994192,0.0043697,0.499651,0.00513544,0.20192,0
30,0.000995921,6.55376e-05,0.00104135,0.000169215,0.0993903,0.00461269,0.499722,0.00472953,0.20192,0
31,0.000996834,6.56122e-05,0.00103534,0.000149133,0.0997269,0.00585856,0.49963,0.00555369,0.20192,0
32,0.000996847,6.39405e-05,0.00104151,0.000168308,0.0999739,0.00820917,0.49941,0.00640883,0.20192,0
33,0.000995324,5.24645e-05,0.00104946,0.000192302,0.0999211,0.00801223,0.499129,0.00783025,0.20192,0
34,0.000995972,3.70977e-05,0.00104477,0.000180811,0.100155,0.00932684,0.499056,0.00834042,0.20192,0
35,0.00099526,4.38367e-05,0.00105057,0.000199659,0.100194,0.00910632,0.499458,0.00607963,0.20192,0
36,0.000992921,5.37848e-05,0.00105781,0.000215691,0.100631,0.0121763,0.499781,0.00413876,0.20192,0
37,0.000992593,5.46206e-05,0.00105946,0.000240963,0.101246,0.0150188,0.49971,0.00459804,0.20192,0
38,0.000993261,5.48222e-05,0.00107102,0.000254807,0.101167,0.0155837,0.499786,0.0040799,0.20192,0
39,0.000991705,6.40938e-05,0.00108952,0.000310109,0.101753,0.017568,0.499729,0.00498516,0.20192,0
40,0.000988584,7.30079e-05,0.00107591,0.000277496,0.102221,0.0190237,0.499545,0.00773719,0.20192,0
41,0.000985203,8.35493e-05,0.00107389,0.000270207,0.102288,0.0201689,0.499159,0.00924245,0.20192,0
42,0.000986565,7.93211e-05,0.00107283,0.000281514,0.101617,0.0182051,0.499442,0.00988145,0.20192,0
43,0.000986497,7.88764e-05,0.00107193,0.000276587,0.101083,0.016181,0.4994,0.00625468,0.20192,0
44,0.000989393,8.27627e-05,0.00108576,0.000334667,0.10145,0.0183731,0.499426,0.00622334,0.20192,0
45,0.000987871,9.25607e-05,0.00106821,0.000250298,0.101433,0.0184217,0.499357,0.00634503,0.20192,0
46,0.000984269,8.4662e-05,0.00106669,0.000241115,0.101268,0.0185786,0.49938,0.00628818,0.20192,0
47,0.000988314,7.38957e-05,0.00106224,0.000227143,0.100235,0.0143467,0.499311,0.00721128,0.20192,0
48,0.000986066,8.05532e-05,0.00105953,0.000229119,0.100572,0.0159932,0.499064,0.00856855,0.20192,0
49,0.000984494,8.74147e-05,0.00105835,0.000257294,0.10077,0.0169433,0.499327,0.00751376,0.20192,0
50,0.000985558,9.36355e-05,0.00106146,0.000293441,0.101001,0.0187419,0.499701,0.00687792,0.20192,0
