Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.1,1.41553e-15,0.5,0,0.40366,0
2,0.000999971,2.19448e-05,0.00100011,3.32527e-06,0.0999699,0.00376523,0.499918,0.00184805,0.40366,0
3,0.000999466,2.71326e-05,0.00100031,7.28852e-06,0.0999572,0.00445831,0.499898,0.00186263,0.40366,0
4,0.00099899,2.25555e-05,0.00100265,4.19455e-05,0.100066,0.00415525,0.499898,0.00199316,0.40366,0
5,0.00099798,3.18663e-05,0.00100432,6.31686e-05,0.0999674,0.00555901,0.499851,0.00248204,0.40366,0
6,0.000995961,4.49752e-05,0.00100413,6.81259e-05,0.100099,0.00858119,0.499865,0.0039861,0.40366,0
7,0.000998963,5.90376e-05,0.00100956,0.000122055,0.100132,0.00826726,0.499707,0.00329186,0.40366,0
8,0.000999159,4.21455e-05,0.00101229,0.000151426,0.100102,0.00751736,0.499699,0.00338154,0.40366,0
9,0.000998045,2.59133e-05,0.0010128,0.000170904,0.100306,0.0109449,0.499842,0.00260505,0.40366,0
10,0.00099768,2.58324e-05,0.00101556,0.000180384,0.100113,0.00837631,0.499928,0.00334688,0.40366,0
11,0.00099594,3.40695e-05,0.00101841,0.000186891,0.100647,0.0107784,0.499978,0.00411385,0.40366,0
12,0.000995744,3.71656e-05,0.00101123,0.000149509,0.10064,0.011025,0.499947,0.00498807,0.40366,0
13,0.000994277,4.44494e-05,0.00100585,8.31235e-05,0.100412,0.00793031,0.499853,0.00546619,0.40366,0
14,0.000993936,4.30006e-05,0.00100494,6.73629e-05,0.100657,0.0089157,0.499754,0.00439076,0.40366,0
15,0.000994241,5.11955e-05,0.00100755,8.1571e-05,0.101098,0.0115758,0.499811,0.00463099,0.40366,0
16,0.000996542,3.34507e-05,0.00101019,8.79122e-05,0.101259,0.0115049,0.499847,0.00520754,0.40366,0
17,0.000997422,2.95732e-05,0.00101473,0.000105253,0.101585,0.0124223,0.499896,0.00606941,0.40366,0
18,0.000997715,2.81079e-05,0.00101662,0.000108321,0.101274,0.00989574,0.49964,0.00474919,0.40366,0
19,0.000998005,2.65934e-05,0.00101059,8.51182e-05,0.101593,0.0115071,0.499584,0.00649597,0.40366,0
20,0.000999281,3.99747e-05,0.00101045,8.48944e-05,0.10182,0.0142201,0.499456,0.0078593,0.40366,0
21,0.000999027,2.82822e-05,0.00100916,7.07596e-05,0.102341,0.0164585,0.49915,0.00841461,0.40366,0
