Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.1,1.41553e-15,0.5,0,0.768246,0
2,0.000999465,1.30719e-05,0.000999702,7.81537e-06,0.0999615,0.00121764,0.499893,0.0036424,0.784936,0
3,0.000999926,2.34559e-06,0.000999528,1.94286e-05,0.1,1.41553e-15,0.499882,0.00422209,0.216157,0
4,0.000999926,2.34559e-06,0.00100013,2.36496e-05,0.0999713,0.000908547,0.500095,0.00518966,0.216157,0
5,0.00100006,1.22879e-05,0.000999572,3.41458e-05,0.100078,0.00246765,0.500124,0.00395917,0.774761,0
6,0.00100005,1.19301e-05,0.00100001,2.81232e-05,0.100139,0.00352863,0.500106,0.00399474,0.774761,0
7,0.000999664,5.41748e-06,0.000999467,2.74714e-05,0.100181,0.00357551,0.500153,0.00385115,0.774761,0
8,0.000999087,1.21159e-05,0.00100083,2.78445e-05,0.100335,0.00499002,0.500177,0.00377709,0.864836,0
9,0.000999161,1.18919e-05,0.00100052,2.61993e-05,0.100186,0.0035783,0.500214,0.00420792,0.864836,0
10,0.000999322,1.13366e-05,0.00100057,3.10275e-05,0.100112,0.00259855,0.500271,0.00397119,0.864836,0
11,0.000999852,3.3155e-06,0.00100015,3.30651e-05,0.100112,0.00295964,0.500248,0.00414244,0.864836,0
12,0.000999311,1.25245e-05,0.000999843,2.78384e-05,0.099942,0.00305383,0.500328,0.00434446,0.864836,0
13,0.000999401,1.19515e-05,0.00100019,2.60995e-05,0.0999185,0.0033948,0.500462,0.00500157,0.149249,0
14,0.000999663,8.61623e-06,0.000998312,3.58106e-05,0.0998819,0.00378482,0.500205,0.00347189,0.149249,0
15,0.001,3.31558e-05,0.000999023,4.0752e-05,0.0998027,0.0035219,0.500103,0.00262675,0.149249,0
16,0.000999555,1.41564e-05,0.000997448,4.38473e-05,0.0997597,0.00437166,0.500185,0.00347656,0.149249,0
17,0.0010002,2.78334e-05,0.000997885,5.90935e-05,0.0998708,0.00363353,0.500184,0.003219,0.149249,0
18,0.0010002,2.78334e-05,0.000998928,6.06081e-05,0.0999236,0.00339728,0.500278,0.00424696,0.149249,0
19,0.00100092,3.75625e-05,0.00100002,6.28357e-05,0.099927,0.00418009,0.500248,0.00414244,0.149249,0
20,0.00100013,4.39567e-05,0.000999355,4.87261e-05,0.0998848,0.00324022,0.500321,0.00481,0.149249,0
21,0.00100078,5.15915e-05,0.00100091,4.23677e-05,0.0994385,0.00682375,0.50033,0.00607377,0.149249,0
22,0.00100307,5.18215e-05,0.00100155,4.48938e-05,0.0991983,0.00783517,0.500384,0.00502411,0.149249,0
23,0.0010033,5.12154e-05,0.00100011,5.39298e-05,0.0991665,0.00788168,0.500416,0.00491028,0.149249,0
24,0.00100197,4.5979e-05,0.0010005,4.99477e-05,0.0987691,0.00935775,0.500458,0.00477167,0.149249,0
25,0.0010042,5.72492e-05,0.00100099,5.1482e-05,0.0988352,0.00898679,0.500514,0.00531478,0.149249,0
26,0.00100296,5.28855e-05,0.00100262,5.3944e-05,0.098461,0.010495,0.500467,0.0050447,0.149249,0
27,0.00100256,4.65482e-05,0.00100574,5.57021e-05,0.0984738,0.0105605,0.500395,0.00477049,0.149249,0
28,0.00100215,3.99465e-05,0.00100623,6.15005e-05,0.0987626,0.00961848,0.500154,0.00482178,0.149249,0
