Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.9,1.5099e-14,0.5,0,0.0751486,0
2,0.00099987,1.36756e-05,0.00100248,5.96169e-05,0.899734,0.00676628,0.500148,0.00466295,0.0751486,0
3,0.00099912,1.99611e-05,0.00100483,8.51262e-05,0.89952,0.00937325,0.500148,0.00466295,0.0751486,0
4,0.00099845,2.82496e-05,0.00100256,5.94947e-05,0.899512,0.0093766,0.5,0,0.0751486,0
5,0.000999319,1.71281e-05,0.00100743,9.82362e-05,0.899349,0.0113817,0.500086,0.00270613,0.0751486,0
6,0.000997253,3.67905e-05,0.00100318,6.66424e-05,0.899049,0.0132416,0.499989,0.00543613,0.0751486,0
7,0.000997769,3.30046e-05,0.000999381,1.12694e-05,0.899795,0.00649012,0.499784,0.0077811,0.0751486,0
8,0.000997346,3.98838e-05,0.00100049,2.84871e-05,0.899767,0.00654653,0.499356,0.0103964,0.0751486,0
9,0.000997536,3.96476e-05,0.00100251,4.27253e-05,0.899945,0.00122139,0.499356,0.0103964,0.0751486,0
10,0.000998512,3.21523e-05,0.00100103,3.36062e-05,0.899953,0.00186921,0.499571,0.00856761,0.0751486,0
11,0.000999129,3.41514e-05,0.0010007,3.46387e-05,0.899953,0.00186921,0.499099,0.0107303,0.0751486,0
12,0.000998093,4.01784e-05,0.000999997,2.58893e-05,0.899926,0.00205865,0.499048,0.0108575,0.0751486,0
13,0.000996376,5.3491e-05,0.000998227,2.54137e-05,0.90006,0.0026934,0.498563,0.0135514,0.0751486,0
14,0.00099669,5.4466e-05,0.000999305,2.56144e-05,0.900059,0.00241118,0.497849,0.016098,0.0751486,0
15,0.000996415,6.91647e-05,0.000999302,2.46606e-05,0.899971,0.00147304,0.497343,0.0181659,0.0751486,0
16,0.000997483,6.28724e-05,0.000999379,2.08239e-05,0.899939,0.00250005,0.497793,0.0180891,0.0751486,0
17,0.000996659,5.26994e-05,0.000998046,2.80416e-05,0.899847,0.00352547,0.498019,0.0173969,0.0751486,0
18,0.000997727,4.67573e-05,0.000999694,8.32791e-06,0.899737,0.00379983,0.497035,0.0202439,0.0751486,0
19,0.000995365,6.64117e-05,0.000999446,1.17356e-05,0.899518,0.00522825,0.4953,0.0242612,0.0751486,0
20,0.000995821,5.63191e-05,0.000999178,1.42096e-05,0.899446,0.00555474,0.49407,0.0266082,0.0751486,0
21,0.000996895,5.95348e-05,0.000999127,1.40796e-05,0.89975,0.00386198,0.492501,0.028938,0.0751486,0
22,0.000997441,3.75467e-05,0.000998728,1.67614e-05,0.899892,0.00206245,0.488959,0.0339908,0.0751486,0
23,0.000995945,4.83731e-05,0.000997885,3.08814e-05,0.900009,0.00209098,0.489297,0.0333546,0.0751486,0
24,0.000998304,3.69754e-05,0.000999381,2.38988e-05,0.899945,0.00147134,0.48571,0.0372923,0.0751486,0
25,0.000998906,3.32511e-05,0.00100007,3.59271e-05,0.899954,0.00136275,0.482196,0.0405997,0.0751486,0
26,0.000999492,2.79611e-05,0.00099975,2.24052e-05,0.899842,0.00329635,0.479837,0.0429622,0.0751486,0
27,0.000998668,3.40185e-05,0.00099921,1.38864e-05,0.899755,0.00463262,0.475924,0.0467648,0.0751486,0
28,0.00099738,4.56867e-05,0.000997299,2.64962e-05,0.899755,0.00448169,0.47368,0.0485016,0.0751486,0
29,0.000998899,3.81406e-05,0.000997269,2.65013e-05,0.899712,0.00454551,0.467514,0.0526321,0.0751486,0
30,0.000997943,4.62747e-05,0.000997434,2.5244e-05,0.899796,0.00334721,0.462088,0.0550466,0.0751486,0
31,0.00100019,4.38189e-05,0.000996486,2.95116e-05,0.899712,0.00451235,0.46037,0.0555402,0.0751486,0
32,0.00100133,3.30692e-05,0.000996631,2.88122e-05,0.899721,0.00393759,0.456667,0.0568826,0.0751486,0
33,0.00100253,6.47804e-05,0.000997139,2.65447e-05,0.899638,0.00512089,0.450551,0.0580991,0.0751486,0
34,0.00100043,2.14075e-05,0.000997646,2.40538e-05,0.899595,0.00429816,0.443146,0.0590456,0.0751486,0
35,0.00100004,2.29612e-05,0.00100019,5.37684e-05,0.899824,0.00473219,0.438626,0.0584722,0.0751486,0
36,0.00100052,3.24354e-05,0.00100128,7.46818e-05,0.899855,0.00407137,0.434285,0.0585934,0.0751486,0
37,0.00100064,3.64552e-05,0.000997509,2.48204e-05,0.899802,0.00386288,0.430338,0.0584433,0.0751486,0
38,0.00100215,1.70039e-05,0.00099698,2.69313e-05,0.899662,0.00359618,0.425955,0.0574281,0.0751486,0
39,0.00100232,2.01246e-05,0.000997803,2.64747e-05,0.899633,0.00411114,0.422786,0.0573669,0.0751486,0
40,0.00100101,2.29585e-05,0.000998085,2.57741e-05,0.899503,0.00491698,0.417445,0.0552107,0.0751486,0
41,0.00100192,4.96239e-05,0.00099698,2.69313e-05,0.899089,0.00628864,0.412462,0.0531996,0.0751486,0
42,0.00100086,5.5232e-05,0.000996496,2.85157e-05,0.898897,0.0073419,0.407982,0.0513318,0.0751486,0
43,0.00100032,3.80003e-05,0.000996486,4.64636e-05,0.899109,0.00743332,0.401741,0.0481079,0.0751486,0
44,0.000999707,4.07145e-05,0.000996524,5.40626e-05,0.899385,0.0068281,0.397633,0.0459874,0.0751486,0
45,0.000997195,5.24217e-05,0.000998765,5.18083e-05,0.899429,0.00820949,0.392737,0.0412586,0.0751486,0
46,0.000998201,5.13496e-05,0.000999741,3.56785e-05,0.899488,0.0077445,0.389189,0.0374139,0.0751486,0
47,0.000997998,7.36738e-05,0.00100028,3.05322e-05,0.89923,0.00645208,0.387317,0.0350828,0.0751486,0
48,0.000995257,6.61847e-05,0.00100042,3.00433e-05,0.898931,0.00904977,0.383802,0.0314436,0.0751486,0
49,0.000994681,6.01781e-05,0.00100037,2.90827e-05,0.898848,0.00948965,0.381695,0.0285998,0.0751486,0
50,0.000995853,6.29602e-05,0.001,3.43375e-05,0.898938,0.0098278,0.381909,0.028391,0.0751486,0
