Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.5,0,0.5,0,0.892995,0
2,0.00100627,9.10611e-05,0.00100216,4.29827e-05,0.50009,0.00174566,0.499926,0.00166925,0.892995,0
3,0.00100371,7.01072e-05,0.00100094,2.97824e-05,0.500077,0.0016954,0.49986,0.00305685,0.892995,0
4,0.000999895,3.57426e-05,0.00100066,3.1093e-05,0.500081,0.00193129,0.500031,0.0013675,0.667415,0
5,0.000998888,4.61492e-05,0.00100097,3.05268e-05,0.499808,0.00406579,0.499997,0.0017256,0.667415,0
6,0.00100103,4.89614e-05,0.00100097,3.05268e-05,0.499887,0.00984857,0.500075,0.0027001,0.667415,0
7,0.00100235,6.18915e-05,0.00100417,6.63432e-05,0.499733,0.00847788,0.499967,0.00278634,0.667415,0
8,0.00100541,6.68992e-05,0.00100386,6.09619e-05,0.499635,0.0153415,0.499772,0.00309221,0.667415,0
9,0.00100626,7.63925e-05,0.00100386,6.09619e-05,0.499185,0.0146791,0.499836,0.00263752,0.667415,0
10,0.00100772,8.5839e-05,0.00100097,3.05268e-05,0.499183,0.0194934,0.499804,0.00252444,0.667415,0
11,0.00101107,9.90941e-05,0.00100097,3.05268e-05,0.498555,0.0200422,0.499774,0.00269036,0.667415,0
12,0.00100994,0.000101106,0.00100249,4.85976e-05,0.499507,0.0220996,0.499906,0.00182839,0.667415,0
13,0.00101629,0.000120621,0.00100377,5.45965e-05,0.499273,0.0238901,0.499878,0.00211555,0.667415,0
14,0.00101481,0.000116761,0.00100426,6.93199e-05,0.498947,0.0219552,0.49995,0.00253661,0.667415,0
15,0.00101948,0.000142936,0.00100645,9.02098e-05,0.499023,0.0164865,0.5,0.00324662,0.667415,0
16,0.00102053,0.000156243,0.00100786,9.78063e-05,0.498317,0.0188788,0.499905,0.00302377,0.667415,0
17,0.00102361,0.000161282,0.00100637,7.7137e-05,0.498032,0.0182555,0.499806,0.00503955,0.898689,0
18,0.00103245,0.000180531,0.00100368,5.19493e-05,0.497909,0.0211554,0.49971,0.0060549,0.898689,0
19,0.0010219,0.000168595,0.00100129,3.68656e-05,0.497845,0.0209894,0.499858,0.00412965,0.898689,0
20,0.00102949,0.000196641,0.00100232,4.01985e-05,0.498291,0.0216526,0.499892,0.00403075,0.430526,0
21,0.00103718,0.000215904,0.00100072,2.41985e-05,0.497434,0.0252479,0.499723,0.00478777,0.430526,0
22,0.0010412,0.000211441,0.000999615,2.43948e-05,0.49905,0.0241299,0.499664,0.00494915,0.254771,0
23,0.00104607,0.000221146,0.00100017,3.11024e-05,0.499275,0.0231582,0.499645,0.00526313,0.254771,0
