Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.1,1.41553e-15,0.5,0,0.522472,0
2,0.000999564,1.37649e-05,0.000999501,2.35767e-05,0.1,1.41553e-15,0.500046,0.00152907,0.522472,0
3,0.000999129,1.94567e-05,0.0009986,3.26517e-05,0.100024,0.00154835,0.500018,0.000698373,0.522472,0
4,0.000998365,3.13758e-05,0.000998721,2.62483e-05,0.100006,0.00236868,0.499889,0.00301746,0.522472,0
5,0.000998125,8.01018e-05,0.000998493,2.72093e-05,0.100095,0.00258037,0.499975,0.00340503,0.522472,0
6,0.000994614,4.7199e-05,0.000998224,3.58707e-05,0.100032,0.00288577,0.5,0.00393836,0.522472,0
7,0.000995291,5.00526e-05,0.000997072,4.37051e-05,0.100113,0.00331118,0.499987,0.00205552,0.522472,0
8,0.000991839,6.62216e-05,0.000998168,5.30719e-05,0.100094,0.00464237,0.500097,0.00215472,0.522472,0
9,0.000991005,6.52853e-05,0.000997392,4.01422e-05,0.100133,0.0053926,0.500011,0.000348167,0.522472,0
10,0.000990008,6.37362e-05,0.000999381,4.05853e-05,0.100071,0.00459375,0.500022,0.000492136,0.522472,0
11,0.000991377,5.89692e-05,0.00100044,4.6694e-05,0.100087,0.00458084,0.500012,0.00122718,0.522472,0
12,0.000991532,5.71132e-05,0.00100181,4.69758e-05,0.100072,0.00290546,0.500145,0.0041173,0.522472,0
13,0.000993014,5.07186e-05,0.00100425,5.802e-05,0.0999591,0.00150061,0.500221,0.00356241,0.522472,0
14,0.000993627,5.23902e-05,0.00101127,9.87358e-05,0.0999938,0.00185829,0.50037,0.00529254,0.522472,0
15,0.000995272,5.17839e-05,0.00100925,7.27581e-05,0.0999876,0.00184788,0.500448,0.00551834,0.522472,0
16,0.000992064,6.08132e-05,0.00100992,7.90446e-05,0.100022,0.00116412,0.500353,0.00492067,0.522472,0
17,0.000994513,5.5849e-05,0.00101153,0.000115967,0.100035,0.0010948,0.500115,0.00408859,0.522472,0
18,0.000994295,5.85643e-05,0.00101263,0.000118469,0.1,1.41553e-15,0.50003,0.0038758,0.522472,0
19,0.000993732,4.79384e-05,0.00101288,0.000141407,0.100076,0.00239757,0.500017,0.0026447,0.522472,0
20,0.000995124,4.07163e-05,0.00101358,0.0001445,0.10016,0.00356944,0.500169,0.0020773,0.522472,0
21,0.000995253,4.25445e-05,0.0010159,0.000146278,0.0999383,0.00194922,0.500088,0.00134182,0.522472,0
22,0.000994817,4.46696e-05,0.0010224,0.000195836,0.100003,0.0015262,0.50018,0.00227675,0.522472,0
23,0.000996064,3.79648e-05,0.0010233,0.000212635,0.0999522,0.00189643,0.500263,0.00286171,0.522472,0
24,0.000996427,4.76397e-05,0.00102346,0.000227227,0.0998538,0.00193922,0.500354,0.00318077,0.522472,0
25,0.000996032,4.81708e-05,0.00101647,0.000169997,0.099896,0.00164428,0.50032,0.00285837,0.522472,0
26,0.000994553,4.22489e-05,0.00101904,0.000190089,0.0997999,0.00224809,0.500448,0.00494784,0.522472,0
27,0.000994207,4.49632e-05,0.00101889,0.000192215,0.0998067,0.00218785,0.500092,0.00335642,0.522472,0
28,0.000995591,3.77285e-05,0.00100693,0.000114792,0.0996223,0.00310542,0.500093,0.0052659,0.522472,0
29,0.000996952,3.62199e-05,0.00100792,0.000113725,0.0996808,0.00304086,0.500042,0.00367751,0.522472,0
30,0.000996077,4.21487e-05,0.00100773,0.000112976,0.0998056,0.00354194,0.500088,0.00382623,0.522472,0
31,0.000996509,4.59215e-05,0.00101471,0.000169115,0.0994298,0.00449493,0.500033,0.00289053,0.522472,0
32,0.000995801,4.83222e-05,0.00100885,0.000112298,0.0995641,0.00401407,0.499892,0.00348484,0.522472,0
33,0.000995347,5.60498e-05,0.00101301,0.000167906,0.099599,0.0039412,0.499667,0.00427308,0.522472,0
34,0.000995899,5.41858e-05,0.0010151,0.000183226,0.0994665,0.00416928,0.499397,0.00521695,0.522472,0
35,0.000995181,6.71174e-05,0.00101807,0.000185757,0.0993604,0.00553309,0.499457,0.00527839,0.522472,0
36,0.000994441,6.89296e-05,0.00101196,0.000136785,0.0992946,0.00579968,0.499654,0.00410571,0.522472,0
37,0.000993756,6.56411e-05,0.00100863,0.000108792,0.0993777,0.00570062,0.499736,0.00345482,0.522472,0
38,0.000990699,6.73509e-05,0.00100879,8.24449e-05,0.0993648,0.00622581,0.49989,0.00218939,0.522472,0
39,0.000991825,5.93535e-05,0.0010105,8.1349e-05,0.099095,0.00590312,0.499933,0.00254124,0.522472,0
40,0.000992532,5.7652e-05,0.00101348,9.59977e-05,0.0987961,0.00636673,0.499994,0.0052023,0.522472,0
41,0.000994381,4.58511e-05,0.00101209,9.56508e-05,0.0987684,0.00646635,0.500115,0.00341754,0.522472,0
42,0.000992107,5.2411e-05,0.00101558,0.00011713,0.0985033,0.00703246,0.500262,0.00561829,0.522472,0
43,0.000995659,5.10836e-05,0.00100947,9.19944e-05,0.0982636,0.00727523,0.500344,0.00515075,0.522472,0
44,0.000993512,4.4511e-05,0.00101042,8.59567e-05,0.0985462,0.00783295,0.500611,0.00673626,0.522472,0
45,0.000993565,4.37604e-05,0.0010072,6.7032e-05,0.0983936,0.00754197,0.500515,0.00608303,0.522472,0
46,0.000993387,4.72222e-05,0.00100525,5.23132e-05,0.0981207,0.00878212,0.500491,0.00778746,0.522472,0
47,0.000994886,6.14291e-05,0.00100691,6.03016e-05,0.0978981,0.00921154,0.500742,0.0104664,0.522472,0
48,0.000992103,5.66931e-05,0.00100571,6.45456e-05,0.0983413,0.00780057,0.500948,0.00877168,0.522472,0
49,0.00098888,6.69942e-05,0.00100299,8.46732e-05,0.0985571,0.00673511,0.500662,0.00747714,0.522472,0
50,0.000990214,5.80653e-05,0.00100251,9.91537e-05,0.0985184,0.0065881,0.500747,0.00678993,0.522472,0
