Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.1,1.41553e-15,0.5,0,0.801772,0
2,0.00099865,2.48166e-05,0.001,6.50521e-19,0.100135,0.00313667,0.499962,0.00120414,0.801772,0
3,0.000998777,2.23026e-05,0.00100065,2.05214e-05,0.10013,0.00509902,0.499818,0.00304383,0.801772,0
4,0.000998486,2.41075e-05,0.00100051,1.62708e-05,0.100327,0.00719579,0.499712,0.003951,0.801772,0
5,0.000998777,2.23026e-05,0.00100103,2.29989e-05,0.100055,0.00282321,0.499596,0.0045482,0.801772,0
6,0.00100014,1.84718e-05,0.00100154,2.81537e-05,0.100175,0.00559469,0.499539,0.00490199,0.801772,0
7,0.00100137,2.52781e-05,0.00100001,2.27961e-05,0.100221,0.00565276,0.499619,0.00379065,0.801772,0
8,0.00100064,2.76194e-05,0.00100056,1.63362e-05,0.100616,0.00844848,0.499796,0.00323428,0.219166,0
9,0.000999218,3.40979e-05,0.00100118,3.58067e-05,0.100679,0.00845763,0.499694,0.00340475,0.010395,0
10,0.000998052,3.11367e-05,0.00100168,3.80482e-05,0.100643,0.00701359,0.499463,0.00605861,0.010395,0
11,0.000998232,2.79067e-05,0.00100236,5.06503e-05,0.100697,0.00589659,0.499349,0.00742389,0.010395,0
12,0.000997337,3.42939e-05,0.00100538,7.30202e-05,0.100751,0.00627959,0.498864,0.0101103,0.010395,0
13,0.000994153,5.09517e-05,0.00100519,7.25296e-05,0.100924,0.00690341,0.498864,0.0101958,0.010395,0
14,0.000995443,4.53738e-05,0.00100402,6.31498e-05,0.101112,0.00780743,0.498743,0.0110371,0.010395,0
15,0.000992655,5.74243e-05,0.00100671,8.1688e-05,0.101498,0.00908728,0.499039,0.0109608,0.232224,0
16,0.00099235,5.76322e-05,0.00100539,7.34767e-05,0.101415,0.00908506,0.499071,0.0112882,0.232224,0
17,0.00099205,6.10761e-05,0.00100524,8.09649e-05,0.101873,0.009779,0.499226,0.0109046,0.232224,0
18,0.000991409,6.51595e-05,0.00100566,8.19992e-05,0.102016,0.0106856,0.499263,0.0115659,0.232224,0
19,0.000990948,6.97797e-05,0.00100184,5.23009e-05,0.102319,0.0114965,0.499318,0.00878139,0.232224,0
20,0.000991965,0.000100617,0.00100351,6.55546e-05,0.102198,0.0101924,0.499106,0.00911823,0.232224,0
21,0.000995253,0.000101883,0.00100469,7.9596e-05,0.102496,0.0116799,0.499272,0.00859735,0.783811,0
22,0.000998813,0.000126613,0.00100661,8.08476e-05,0.102554,0.0118226,0.499394,0.00964327,0.783811,0
23,0.00100125,0.00014033,0.00100487,6.70392e-05,0.102357,0.0115248,0.499684,0.0101763,0.783811,0
24,0.00099815,0.000121384,0.00100388,5.8422e-05,0.10276,0.0122588,0.499617,0.01131,0.783811,0
25,0.000994406,0.000128784,0.00100948,9.50822e-05,0.102832,0.0135604,0.499443,0.0114623,0.783811,0
26,0.000998159,0.000145064,0.00101579,0.000130326,0.103109,0.0154241,0.498864,0.0133887,0.523526,0
27,0.00100123,0.000126453,0.00101498,0.000129596,0.102951,0.0151099,0.499335,0.0132651,0.523526,0
28,0.00100317,0.000133334,0.00100959,0.000104323,0.103457,0.0176337,0.498982,0.0134758,0.523526,0
29,0.00100548,0.000145935,0.00100797,9.31434e-05,0.102841,0.0153274,0.498999,0.0128689,0.523526,0
