Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.5,0,0.5,0,0.680825,0
2,0.00100066,1.04803e-05,0.001,6.50521e-19,0.5,0,0.499917,0.00219861,0.680825,0
3,0.00100017,5.45601e-06,0.00100053,1.68407e-05,0.499891,0.00345418,0.499925,0.00215931,0.680825,0
4,0.00100121,3.31338e-05,0.00100046,1.46827e-05,0.499781,0.00488251,0.499956,0.00140099,0.680825,0
5,0.001,6.50521e-19,0.000999729,8.56305e-06,0.49986,0.00358697,0.500002,6.86722e-05,0.680825,0
6,0.00100025,7.97117e-06,0.00100014,1.55534e-05,0.500236,0.00718181,0.500004,9.70686e-05,0.680825,0
7,0.0010016,2.59774e-05,0.00100041,1.29754e-05,0.500016,0.00175918,0.499978,0.00113504,0.680825,0
8,0.00100214,2.8306e-05,0.00100041,1.29754e-05,0.5,0,0.499998,0.00159516,0.680825,0
9,0.00100486,8.59404e-05,0.00100078,3.0618e-05,0.499955,0.00142857,0.500054,0.00411619,0.680825,0
10,0.00100861,0.000116943,0.00099969,9.75062e-06,0.500056,0.00506425,0.500102,0.00533978,0.680825,0
11,0.00100708,9.37932e-05,0.0010001,1.0529e-05,0.500203,0.00686823,0.499919,0.00609474,0.680825,0
12,0.0010074,9.38337e-05,0.00100011,2.61084e-05,0.500071,0.0050781,0.50017,0.0058266,0.680825,0
13,0.00100736,0.000112047,0.000999596,3.09912e-05,0.500021,0.00455987,0.500244,0.00462937,0.680825,0
14,0.00101091,0.000137988,0.000998718,3.4999e-05,0.500288,0.00538221,0.500037,0.00496654,0.680825,0
15,0.00101738,0.000176273,0.000999557,4.22706e-05,0.500456,0.00660622,0.500151,0.00659844,0.680825,0
16,0.00101499,0.000145316,0.0010018,4.84901e-05,0.500239,0.0106414,0.50001,0.00942155,0.680825,0
17,0.00101951,0.000154266,0.00100553,7.78152e-05,0.500325,0.0142249,0.499803,0.0108495,0.680825,0
18,0.00101977,0.000154962,0.00100489,8.79509e-05,0.500464,0.00963744,0.500329,0.0117064,0.680825,0
19,0.00102547,0.000167639,0.00100501,8.70309e-05,0.500063,0.00773041,0.50092,0.0112716,0.680825,0
20,0.00101912,0.000140035,0.000999574,5.24024e-05,0.499324,0.00863124,0.501439,0.0113216,0.680825,0
21,0.00101593,0.000133725,0.000997845,5.69721e-05,0.499615,0.00833578,0.500857,0.0100316,0.680825,0
22,0.00101644,0.000116917,0.000996136,7.17431e-05,0.49995,0.0108051,0.500872,0.0138469,0.680825,0
23,0.00101487,9.14834e-05,0.000994822,5.98968e-05,0.499605,0.00878409,0.501752,0.0154223,0.680825,0
24,0.001009,7.333e-05,0.000993943,6.31008e-05,0.499849,0.00982487,0.502472,0.0150793,0.680825,0
25,0.00100876,6.77047e-05,0.000993878,6.44769e-05,0.500089,0.0090246,0.503416,0.0173904,0.680825,0
26,0.00100906,8.09662e-05,0.000992652,5.86418e-05,0.500468,0.0116969,0.504011,0.017675,0.680825,0
27,0.00101204,9.67665e-05,0.000993999,5.42669e-05,0.49988,0.0074724,0.504373,0.0182437,0.680825,0
28,0.00101145,9.43607e-05,0.000995984,4.53115e-05,0.500117,0.00931523,0.504778,0.0192845,0.680825,0
29,0.00101094,0.000100829,0.000998335,3.03798e-05,0.500168,0.00648469,0.505301,0.0207,0.680825,0
30,0.00100873,9.78947e-05,0.00100128,4.0635e-05,0.499897,0.00493989,0.505758,0.0212346,0.680825,0
31,0.00100733,0.000102512,0.00100241,5.73941e-05,0.499897,0.00619272,0.506143,0.0215287,0.680825,0
32,0.00101109,0.000122987,0.00100181,4.72178e-05,0.499727,0.00681399,0.505823,0.0209775,0.680825,0
33,0.00100666,0.000112753,0.0010009,6.69673e-05,0.499909,0.00740465,0.507023,0.022983,0.680825,0
34,0.00100577,8.9731e-05,0.00100352,8.19155e-05,0.500002,0.00666743,0.506676,0.0221572,0.680825,0
35,0.00100312,6.76328e-05,0.0010045,8.34213e-05,0.499826,0.00621717,0.508173,0.0242949,0.680825,0
36,0.0010012,5.25032e-05,0.00100898,0.000114918,0.49978,0.00610921,0.50782,0.0236991,0.680825,0
37,0.00100056,5.33866e-05,0.00100386,0.000106848,0.49978,0.00544201,0.507861,0.0238577,0.680825,0
38,0.00100251,6.59673e-05,0.00100668,0.000122328,0.49984,0.0040653,0.510014,0.0269695,0.680825,0
39,0.000999087,2.68098e-05,0.00100091,0.00010256,0.499599,0.00700806,0.510177,0.0269597,0.680825,0
40,0.000999418,2.51017e-05,0.0010014,9.41996e-05,0.499387,0.00991586,0.511272,0.027923,0.680825,0
41,0.000999928,2.91824e-05,0.00100301,0.000102577,0.499293,0.01125,0.511658,0.028831,0.680825,0
42,0.000999992,3.35035e-05,0.00100643,0.000109172,0.499861,0.0117449,0.511027,0.0283372,0.680825,0
43,0.0010011,1.80734e-05,0.00100472,0.000118915,0.499897,0.0191721,0.511385,0.0283185,0.680825,0
44,0.00100058,2.0583e-05,0.000998098,9.00691e-05,0.500807,0.0214152,0.51248,0.0296098,0.680825,0
45,0.00100217,3.3809e-05,0.000991682,9.42634e-05,0.49999,0.0197855,0.513644,0.0310742,0.680825,0
46,0.00100218,4.05974e-05,0.000992991,9.03554e-05,0.499506,0.0194116,0.51431,0.0317229,0.680825,0
47,0.00100202,3.46057e-05,0.000994141,9.73314e-05,0.500327,0.0188597,0.514843,0.0321217,0.680825,0
48,0.00100338,5.0884e-05,0.00099526,9.58023e-05,0.500037,0.0136597,0.515275,0.0327727,0.680825,0
49,0.00100306,5.0653e-05,0.000995517,8.22776e-05,0.501215,0.020313,0.51453,0.031763,0.680825,0
