Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.5,0,0.5,0,0.0157132,0
2,0.000999419,2.21105e-05,0.00100085,2.69864e-05,0.500181,0.00406132,0.499425,0.00935688,0.0157132,0
3,0.00100022,4.91433e-06,0.00100093,2.68604e-05,0.500084,0.00265218,0.498819,0.0132413,0.0157132,0
4,0.00100011,3.47669e-06,0.00100346,7.23258e-05,0.500027,0.000849879,0.499046,0.0131126,0.0157132,0
5,0.00100033,6.01578e-06,0.0010023,4.03428e-05,0.500095,0.00301622,0.498912,0.0133989,0.0157132,0
6,0.00100025,6.50399e-06,0.00100325,4.53235e-05,0.500011,0.000359008,0.49824,0.016347,0.0157132,0
7,0.00100036,7.37115e-06,0.00100348,4.47388e-05,0.500037,0.00117407,0.49768,0.0180973,0.0157132,0
8,0.00100058,8.85015e-06,0.00100648,6.41211e-05,0.5,0,0.495853,0.0252941,0.0157132,0
9,0.00100044,2.6103e-05,0.00100446,6.11143e-05,0.500284,0.00638878,0.495386,0.027072,0.0157132,0
10,0.00100205,4.0551e-05,0.00100426,5.70495e-05,0.500158,0.00498404,0.493312,0.0317804,0.0157132,0
11,0.00100171,2.5422e-05,0.00100527,6.27739e-05,0.500473,0.00862397,0.490526,0.037767,0.0157132,0
12,0.0010016,2.75292e-05,0.00100593,6.72277e-05,0.49984,0.00504688,0.487434,0.043253,0.0157132,0
13,0.00100213,1.98191e-05,0.00100312,5.55891e-05,0.499461,0.0105664,0.482523,0.0503064,0.0157132,0
14,0.0010019,2.16976e-05,0.00100296,5.68208e-05,0.499223,0.0118682,0.475069,0.0586529,0.0157132,0
15,0.00100299,4.15471e-05,0.000999184,3.50647e-05,0.499149,0.0128064,0.465772,0.066742,0.0157132,0
16,0.00100277,3.7587e-05,0.000998069,3.25017e-05,0.499707,0.0133726,0.457602,0.0721463,0.0157132,0
17,0.00100498,5.10189e-05,0.000999648,6.01376e-05,0.498673,0.0158216,0.444879,0.0781885,0.0157132,0
18,0.00100564,7.05525e-05,0.000999035,3.90564e-05,0.499294,0.0140521,0.432649,0.08182,0.0157132,0
19,0.00100504,7.19482e-05,0.000998768,3.37738e-05,0.499574,0.0161472,0.419029,0.083921,0.0157132,0
20,0.00101019,0.000104265,0.000998354,2.75916e-05,0.49988,0.0150783,0.408301,0.0838716,0.0157132,0
21,0.00101262,0.000123822,0.00100013,2.74067e-05,0.500199,0.0193643,0.395494,0.0820134,0.0157132,0
22,0.00101473,0.000127786,0.00100014,2.8183e-05,0.500688,0.0220239,0.384809,0.0787176,0.0157132,0
23,0.00101725,0.000138861,0.00100075,2.47054e-05,0.500154,0.0187831,0.376435,0.0749773,0.0157132,0
24,0.00101946,0.000151986,0.000999844,4.92394e-06,0.50046,0.0179297,0.363447,0.0666946,0.0157132,0
25,0.00101965,0.000141204,0.0010003,2.47251e-05,0.500579,0.0168235,0.354945,0.0598108,0.0157132,0
26,0.00101008,9.8612e-05,0.001,6.50521e-19,0.500786,0.0163895,0.34866,0.052566,0.719901,0
27,0.00101404,0.00011905,0.000999538,1.45964e-05,0.500213,0.0132178,0.35447,0.0586861,0.719901,0
28,0.00101609,0.000139285,0.000999076,2.0632e-05,0.500262,0.0182314,0.362374,0.0657291,0.719901,0
29,0.0010178,0.000146365,0.000999076,2.0632e-05,0.499366,0.0139947,0.372661,0.0726801,0.700283,0
30,0.00101678,0.000143803,0.000998241,2.78604e-05,0.499258,0.0155337,0.381939,0.0771782,0.700283,0
31,0.00102303,0.000158309,0.000998469,2.68834e-05,0.499233,0.0166675,0.391992,0.0809167,0.700283,0
32,0.0010258,0.000180615,0.000998469,2.68834e-05,0.500183,0.0131985,0.398686,0.0825339,0.700283,0
33,0.00102131,0.000155086,0.000999532,2.2074e-05,0.500704,0.0146424,0.404767,0.0838384,0.700283,0
34,0.00102571,0.000167619,0.00100009,5.23631e-05,0.500089,0.0165498,0.414013,0.0841157,0.975717,0
35,0.00103304,0.000195794,0.00100413,8.70135e-05,0.500246,0.0151681,0.43717,0.0809408,0.975717,0
36,0.00103088,0.000180153,0.000998632,5.23376e-05,0.500402,0.0144123,0.455261,0.0735017,0.975717,0
37,0.00102208,0.00014654,0.00100029,7.89971e-05,0.500014,0.0122112,0.470112,0.0635118,0.975717,0
38,0.00102321,0.000147033,0.00100052,7.88079e-05,0.500094,0.0110772,0.482147,0.050779,0.975717,0
39,0.00101646,0.000107375,0.00100217,8.93339e-05,0.499806,0.0154486,0.487399,0.0428755,0.975717,0
40,0.00101216,6.92464e-05,0.00100194,9.2067e-05,0.499476,0.0195646,0.49066,0.0374851,0.975717,0
41,0.00101121,4.56767e-05,0.00100261,9.28404e-05,0.499957,0.0197942,0.49327,0.0317143,0.975717,0
42,0.00100913,3.46025e-05,0.000999521,7.26419e-05,0.499459,0.0232949,0.495764,0.0246063,0.975717,0
43,0.00101069,3.63691e-05,0.00100005,7.74445e-05,0.498425,0.0283727,0.497208,0.0194537,0.975717,0
44,0.00101096,3.60023e-05,0.00100362,9.48116e-05,0.49792,0.0288891,0.498834,0.0123414,0.975717,0
45,0.00100985,3.54318e-05,0.00100851,0.000117108,0.49797,0.0290215,0.499217,0.00967493,0.975717,0
46,0.00101009,3.4963e-05,0.00100962,0.000117902,0.495898,0.0326335,0.499755,0.0056206,0.975717,0
47,0.00100898,3.48587e-05,0.00100681,0.000104088,0.497379,0.032678,0.499784,0.00578229,0.975717,0
48,0.00100955,3.69106e-05,0.00101229,0.0001392,0.496851,0.0335462,0.499746,0.00537371,0.975717,0
49,0.00100754,4.57916e-05,0.00101756,0.000148888,0.498107,0.0303674,0.499914,0.00546101,0.236764,0
50,0.0010063,5.35797e-05,0.00102857,0.000188999,0.498187,0.0350363,0.499851,0.00507482,0.236764,0
