Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.5,0,0.5,0,0.260148,0
2,0.000999588,1.30357e-05,0.00099956,9.82648e-06,0.5,0,0.500036,0.001145,0.260148,0
3,0.00100026,3.68224e-05,0.0010004,2.49022e-05,0.500096,0.00304247,0.49998,0.000619539,0.260148,0
4,0.000998911,1.99605e-05,0.00099982,4.8765e-06,0.500193,0.00430055,0.500131,0.0042315,0.260148,0
5,0.000998911,1.99605e-05,0.000999848,4.79615e-06,0.500005,0.0065996,0.500224,0.00622543,0.260148,0
6,0.00100106,9.0315e-05,0.001,6.50521e-19,0.499994,0.0033389,0.500913,0.0112001,0.260148,0
7,0.000997347,2.96671e-05,0.001,6.50521e-19,0.499886,0.00271323,0.500568,0.00978632,0.260148,0
8,0.000999812,2.02191e-05,0.001,6.50521e-19,0.500203,0.00558939,0.500384,0.0076624,0.260148,0
9,0.000999502,1.49914e-05,0.00099981,3.15733e-05,0.500106,0.00605596,0.500354,0.00763168,0.260148,0
10,0.00099872,2.0202e-05,0.000999401,1.89173e-05,0.500371,0.00795616,0.500092,0.00490649,0.260148,0
11,0.000999068,1.57472e-05,0.000998803,2.67397e-05,0.500249,0.0064831,0.500256,0.006751,0.260148,0
12,0.00100203,6.62043e-05,0.000998875,2.27897e-05,0.500388,0.00725028,0.500177,0.00719429,0.260148,0
13,0.00100353,7.51804e-05,0.000999474,1.27333e-05,0.499998,0.00617385,0.500056,0.00812838,0.260148,0
14,0.00100987,0.000120807,0.000999474,1.27333e-05,0.499427,0.0101436,0.499676,0.00735758,0.260148,0
15,0.00101067,0.000128398,0.000998559,2.29618e-05,0.499537,0.00903108,0.499735,0.00711783,0.260148,0
16,0.00100737,9.45072e-05,0.000997654,4.04711e-05,0.49982,0.0101097,0.49939,0.00646117,0.260148,0
17,0.00100252,4.93366e-05,0.00100116,4.17588e-05,0.500507,0.00660495,0.499638,0.00503958,0.260148,0
18,0.00100313,5.55195e-05,0.00100007,4.11928e-05,0.500337,0.00548366,0.499632,0.00475739,0.260148,0
19,0.0010012,4.80162e-05,0.000999955,4.13412e-05,0.500639,0.00629556,0.49966,0.00537346,0.260148,0
20,0.00100349,5.61641e-05,0.00099914,4.61749e-05,0.500323,0.00758877,0.499772,0.00356119,0.260148,0
21,0.00100444,4.71242e-05,0.000997584,3.84665e-05,0.500224,0.00915167,0.499885,0.00183252,0.260148,0
22,0.00100131,3.09224e-05,0.00099849,4.73654e-05,0.500212,0.00822132,0.499846,0.0024519,0.260148,0
23,0.00100147,3.03193e-05,0.000994637,5.13663e-05,0.499979,0.00969479,0.500011,0.00445512,0.260148,0
