Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.5,0,0.5,0,0.179304,0
2,0.000998816,1.96162e-05,0.00100006,1.59319e-05,0.499998,0.00302787,0.499797,0.00649716,0.179304,0
3,0.000998816,1.96162e-05,0.00100006,1.59319e-05,0.499863,0.00306266,0.499748,0.00809746,0.179304,0
4,0.000998768,2.29326e-05,0.00100038,1.21169e-05,0.499917,0.00806192,0.49986,0.00870347,0.179304,0
5,0.000999212,2.03112e-05,0.001,6.50521e-19,0.499713,0.00657314,0.499579,0.00787354,0.179304,0
6,0.000998918,2.43531e-05,0.00100018,5.62839e-06,0.499417,0.0081317,0.499617,0.00796709,0.179304,0
7,0.000997756,3.02583e-05,0.000999296,1.8326e-05,0.499692,0.00445212,0.499542,0.0084726,0.179304,0
8,0.000997476,3.08871e-05,0.000999201,1.85687e-05,0.499691,0.00468691,0.499536,0.0079851,0.179304,0
9,0.00099754,3.33541e-05,0.000998746,3.54621e-05,0.499897,0.00282028,0.499128,0.0105836,0.179304,0
10,0.000996616,4.02265e-05,0.000999837,2.86736e-05,0.499929,0.00299791,0.498834,0.0123128,0.179304,0
11,0.000996429,4.95832e-05,0.000999355,3.83075e-05,0.500029,0.00230657,0.498701,0.0129963,0.179304,0
12,0.000993991,5.36041e-05,0.000999069,5.0425e-05,0.500031,0.00178145,0.498679,0.0147295,0.179304,0
13,0.00099424,5.23886e-05,0.000996567,4.40709e-05,0.500063,0.00204901,0.49861,0.0142234,0.179304,0
14,0.000994885,4.99602e-05,0.00099696,4.24074e-05,0.49987,0.012822,0.498603,0.0144305,0.179304,0
15,0.000994614,5.0743e-05,0.000996273,4.53294e-05,0.500146,0.0163707,0.497447,0.0181059,0.179304,0
16,0.000992785,6.00465e-05,0.000995152,5.6428e-05,0.499882,0.0150485,0.497277,0.0191579,0.179304,0
17,0.000992899,5.91952e-05,0.000992083,6.75533e-05,0.500098,0.0111107,0.496743,0.0209773,0.179304,0
18,0.000992567,5.94175e-05,0.000992051,7.04361e-05,0.500353,0.00952939,0.495584,0.0247067,0.179304,0
19,0.00099312,5.52538e-05,0.000993082,7.05226e-05,0.500605,0.00988386,0.494861,0.0261385,0.179304,0
20,0.000992724,5.41328e-05,0.000992275,7.07664e-05,0.500449,0.00856988,0.494603,0.0268414,0.179304,0
21,0.000991727,5.68634e-05,0.000990313,7.77998e-05,0.500429,0.00823373,0.494334,0.0271165,0.179304,0
22,0.000990261,6.11143e-05,0.000990304,9.39864e-05,0.500253,0.00662637,0.49399,0.0282745,0.179304,0
23,0.000992752,5.08142e-05,0.000994317,8.92742e-05,0.500028,0.00597238,0.492713,0.0309394,0.179304,0
24,0.000993233,4.8603e-05,0.000993373,7.54176e-05,0.500531,0.00795263,0.492188,0.0317523,0.179304,0
25,0.000994023,4.79005e-05,0.000996039,6.04838e-05,0.500562,0.00798259,0.491563,0.0330335,0.179304,0
26,0.000994497,5.32288e-05,0.000995183,6.0895e-05,0.500953,0.0106728,0.488856,0.0375229,0.179304,0
27,0.000994647,5.1654e-05,0.000994654,5.55227e-05,0.501132,0.0115204,0.487255,0.0398493,0.179304,0
28,0.000993276,5.58731e-05,0.000997309,4.63413e-05,0.500898,0.0111178,0.485336,0.042049,0.179304,0
29,0.00099211,5.65365e-05,0.000997298,4.75429e-05,0.501011,0.0117741,0.483554,0.0443501,0.179304,0
30,0.000995865,3.67287e-05,0.000997012,5.06164e-05,0.502197,0.0166926,0.480531,0.0475032,0.179304,0
31,0.000997519,5.33086e-05,0.0009928,6.51994e-05,0.503282,0.0213981,0.47523,0.0520815,0.179304,0
32,0.000999958,8.79097e-05,0.000993047,6.70252e-05,0.503966,0.0229842,0.474188,0.0531635,0.179304,0
33,0.000999611,8.78931e-05,0.000994256,6.99603e-05,0.505665,0.0280257,0.467105,0.0578158,0.179304,0
34,0.000999073,6.10645e-05,0.000989107,8.6225e-05,0.505765,0.0277849,0.46638,0.0581281,0.179304,0
