Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.1,1.41553e-15,0.5,0,0.758372,0
2,0.00100153,4.84195e-05,0.00100023,7.14545e-06,0.1,1.41553e-15,0.5,0,0.758372,0
3,0.00100153,4.84195e-05,0.001,6.13166e-08,0.100108,0.00247118,0.500053,0.00168913,0.758372,0
4,0.00100055,1.74206e-05,0.000999517,1.5278e-05,0.1,1.41553e-15,0.500125,0.00313295,0.758372,0
5,0.00100185,4.45248e-05,0.000999517,1.5278e-05,0.0999781,0.00187369,0.499996,0.00313565,0.758372,0
6,0.001,6.50521e-19,0.000999269,1.71637e-05,0.100077,0.00375161,0.499944,0.00310163,0.758372,0
7,0.00100076,2.38921e-05,0.000997992,3.17521e-05,0.100106,0.00519622,0.500124,0.00353116,0.758372,0
8,0.00100081,2.39481e-05,0.000997496,3.52104e-05,0.100227,0.00469058,0.500264,0.00463821,0.758372,0
9,0.00100101,2.52282e-05,0.000997526,4.39146e-05,0.100227,0.00469058,0.500179,0.00423738,0.758372,0
10,0.00100178,4.01639e-05,0.000999156,4.20269e-05,0.100331,0.00572767,0.500537,0.00602659,0.758372,0
11,0.00100102,4.67827e-05,0.00100164,3.80542e-05,0.100331,0.00572767,0.50076,0.00804629,0.758372,0
12,0.00100102,4.67827e-05,0.000999033,2.15956e-05,0.100625,0.00804895,0.500921,0.00888674,0.758372,0
13,0.000999306,5.94428e-05,0.001,6.50521e-19,0.100625,0.00804895,0.500949,0.00942476,0.758372,0
14,0.00100035,6.45303e-05,0.000999621,1.19787e-05,0.100224,0.00475711,0.500652,0.00766175,0.758372,0
15,0.00100036,5.4949e-05,0.000999422,1.41949e-05,0.100422,0.00667063,0.501002,0.0101361,0.758372,0
16,0.000998044,6.69295e-05,0.00100035,3.1666e-05,0.100422,0.00659522,0.501325,0.0114093,0.758372,0
17,0.00100111,3.60575e-05,0.00100073,2.93034e-05,0.100628,0.00805571,0.501961,0.0143949,0.758372,0
18,0.00100213,4.15696e-05,0.00100016,5.07861e-05,0.101196,0.011428,0.502342,0.015521,0.758372,0
19,0.00100231,5.06559e-05,0.00100255,7.9185e-05,0.10128,0.0118853,0.503282,0.0184051,0.758372,0
20,0.00100342,6.27132e-05,0.000999515,5.15358e-05,0.101484,0.0127601,0.50257,0.0155507,0.758372,0
21,0.0010032,6.51277e-05,0.000999634,7.08514e-05,0.101216,0.0113784,0.503164,0.017311,0.758372,0
22,0.00100755,9.88752e-05,0.000998253,7.41084e-05,0.101555,0.0125075,0.503497,0.0184743,0.758372,0
23,0.00100673,9.62818e-05,0.000998813,8.79926e-05,0.101426,0.0120137,0.504468,0.0211749,0.758372,0
24,0.00100571,8.52669e-05,0.00100121,9.45455e-05,0.101214,0.0107453,0.505282,0.0232916,0.758372,0
25,0.00100671,9.16931e-05,0.00100074,8.16045e-05,0.101538,0.0121693,0.506459,0.025193,0.758372,0
26,0.00100711,9.27211e-05,0.000996318,6.12364e-05,0.101918,0.0133077,0.506204,0.0250774,0.758372,0
27,0.00100624,8.88379e-05,0.000995094,6.3218e-05,0.102182,0.0139798,0.506055,0.0249842,0.758372,0
28,0.00100447,9.44107e-05,0.00100019,9.68223e-05,0.10238,0.0146316,0.506464,0.0253157,0.758372,0
29,0.00100695,9.80303e-05,0.00100032,7.68645e-05,0.101682,0.0120879,0.507832,0.0279571,0.758372,0
30,0.00100578,8.07466e-05,0.00100421,0.000112626,0.10244,0.014406,0.507353,0.0270273,0.758372,0
31,0.00100241,4.52894e-05,0.00100247,0.00011076,0.102807,0.0155305,0.508691,0.0299847,0.758372,0
32,0.00100126,4.00603e-05,0.00100061,8.41749e-05,0.102644,0.015261,0.508189,0.0293822,0.758372,0
33,0.0010006,4.34317e-05,0.00100306,9.12209e-05,0.102358,0.0142026,0.510217,0.0322929,0.758372,0
34,0.000998278,3.02408e-05,0.00100536,0.000126575,0.102595,0.0147223,0.511863,0.0344946,0.758372,0
35,0.00099795,3.14036e-05,0.00101181,0.000134586,0.103251,0.0166576,0.514048,0.0371682,0.758372,0
36,0.000996394,3.68183e-05,0.00100966,0.000133033,0.103441,0.0171439,0.514452,0.0373165,0.758372,0
37,0.000997931,2.78189e-05,0.00101609,0.000170535,0.104677,0.0196105,0.515387,0.0386369,0.758372,0
38,0.000997679,3.04e-05,0.00101603,0.000171459,0.105935,0.021248,0.516432,0.0399939,0.758372,0
39,0.000998497,8.6719e-05,0.00101586,0.000164207,0.105721,0.0203018,0.518195,0.0415544,0.758372,0
40,0.00099622,9.19697e-05,0.00101583,0.000155625,0.104818,0.0186375,0.521554,0.0443495,0.758372,0
41,0.000997525,8.95426e-05,0.00101892,0.000160182,0.105935,0.0206606,0.523506,0.0457105,0.758372,0
42,0.00100207,0.000172374,0.00102865,0.000196383,0.105212,0.0200253,0.527111,0.0487302,0.758372,0
43,0.000994622,9.6675e-05,0.00102301,0.000172904,0.10575,0.0207463,0.528402,0.0492399,0.758372,0
44,0.000992901,5.64609e-05,0.00103225,0.00020261,0.10637,0.0220101,0.531406,0.0511486,0.758372,0
45,0.000995696,4.46605e-05,0.00103977,0.000223502,0.106756,0.0229431,0.532802,0.0520483,0.758372,0
46,0.000995274,5.21275e-05,0.00104285,0.000234624,0.106653,0.0231017,0.534525,0.0528344,0.758372,0
47,0.000994339,5.61354e-05,0.00104089,0.000230559,0.106119,0.0224947,0.538343,0.0541315,0.758372,0
48,0.000993309,6.2379e-05,0.00103602,0.000215059,0.105651,0.0221764,0.542873,0.0549788,0.758372,0
49,0.000995445,5.59719e-05,0.00103818,0.000219576,0.105321,0.0218917,0.546743,0.0562555,0.758372,0
50,0.000994655,6.1616e-05,0.00103261,0.000195364,0.105436,0.023777,0.549076,0.0563644,0.758372,0
