Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.5,0,0.5,0,0.43057,0
2,0.00100054,2.49849e-05,0.00100052,1.65701e-05,0.499881,0.00454386,0.500052,0.00215556,0.43057,0
3,0.000999393,1.40193e-05,0.00100052,1.65701e-05,0.499838,0.00680223,0.500038,0.00272391,0.43057,0
4,0.000999462,1.70045e-05,0.00100128,4.03113e-05,0.500115,0.00682206,0.499979,0.00130441,0.43057,0
5,0.000998853,2.46167e-05,0.00100266,5.70792e-05,0.499868,0.00513778,0.499911,0.00382505,0.43057,0
6,0.00099773,3.31794e-05,0.00100107,4.35539e-05,0.499906,0.00707954,0.500053,0.00101997,0.43057,0
7,0.000994945,4.94948e-05,0.000999928,2.38018e-05,0.499973,0.00780426,0.500019,0.00042791,0.43057,0
8,0.000995109,8.05036e-05,0.000999952,2.63319e-05,0.500291,0.012395,0.5,0,0.43057,0
9,0.000991702,6.36241e-05,0.00099847,2.90625e-05,0.499997,0.0138289,0.5,0,0.43057,0
10,0.000994638,6.43505e-05,0.000999415,4.22322e-05,0.499956,0.0130638,0.499991,0.00150276,0.43057,0
11,0.000993803,5.69286e-05,0.0010027,6.05845e-05,0.499957,0.0126405,0.500022,0.00178688,0.43057,0
12,0.000990131,6.76382e-05,0.000999447,6.22725e-05,0.500057,0.0142654,0.499967,0.00253423,0.43057,0
13,0.000992977,5.58587e-05,0.000999698,6.33172e-05,0.499604,0.0151204,0.499925,0.00168187,0.43057,0
14,0.000991172,6.16464e-05,0.000997184,3.8657e-05,0.499884,0.0143072,0.49997,0.00334321,0.43057,0
15,0.000991798,5.80128e-05,0.000997733,3.59627e-05,0.499513,0.0132151,0.499933,0.00354832,0.43057,0
16,0.000990509,6.26073e-05,0.000995466,5.07578e-05,0.499903,0.0149092,0.499857,0.00392544,0.43057,0
17,0.000989828,6.33961e-05,0.000991953,6.41683e-05,0.500029,0.0105301,0.499695,0.00377847,0.43057,0
18,0.000988521,6.86376e-05,0.00099329,5.95127e-05,0.500087,0.0131187,0.499681,0.00375075,0.43057,0
19,0.000989346,6.72244e-05,0.000987415,7.80364e-05,0.500248,0.0139451,0.499806,0.0048387,0.43057,0
20,0.00098982,6.59186e-05,0.000987643,7.84076e-05,0.499875,0.016125,0.499641,0.00360924,0.43057,0
21,0.000990218,7.15833e-05,0.000991271,6.96407e-05,0.5001,0.0167689,0.499558,0.00544703,0.43057,0
22,0.000990607,6.94378e-05,0.000989133,7.29252e-05,0.500411,0.0196183,0.499587,0.0071746,0.43057,0
23,0.000992714,8.65103e-05,0.0009884,7.83256e-05,0.500904,0.0225514,0.499608,0.00649038,0.43057,0
24,0.000994726,5.69874e-05,0.000986811,8.61899e-05,0.500006,0.0226821,0.499637,0.00643349,0.43057,0
25,0.000997937,4.50807e-05,0.000985696,8.56381e-05,0.500207,0.0262391,0.499323,0.00817219,0.43057,0
26,0.000995917,5.289e-05,0.000984576,8.74371e-05,0.498822,0.0244899,0.499967,0.00937733,0.43057,0
27,0.000999994,5.35461e-05,0.000983357,9.14874e-05,0.498094,0.0267105,0.499989,0.00989196,0.543506,0
28,0.000999256,5.87853e-05,0.000982174,9.19791e-05,0.499362,0.0309277,0.499719,0.00975068,0.543506,0
29,0.0010019,4.73326e-05,0.000984389,9.06143e-05,0.498928,0.0287537,0.500115,0.0109971,0.543506,0
30,0.00100321,2.57716e-05,0.000982431,9.21215e-05,0.499232,0.0306374,0.499574,0.00845725,0.543506,0
31,0.00100328,2.78528e-05,0.000990021,8.58691e-05,0.499589,0.0344982,0.499752,0.00804174,0.543506,0
32,0.00100421,3.58289e-05,0.00099036,8.1583e-05,0.498942,0.0361159,0.500235,0.00875933,0.543506,0
33,0.0010059,4.61162e-05,0.000988064,8.45339e-05,0.499773,0.0396466,0.500868,0.0113132,0.543506,0
34,0.00100778,5.9201e-05,0.000992255,8.67703e-05,0.500052,0.0372302,0.501091,0.0124687,0.543506,0
35,0.0010097,7.18352e-05,0.000992384,0.00010764,0.500025,0.0372201,0.501715,0.0143203,0.543506,0
36,0.00101275,8.78369e-05,0.000995444,9.7085e-05,0.497634,0.0338271,0.501447,0.012723,0.543506,0
37,0.00101041,8.78677e-05,0.000995687,7.55889e-05,0.497917,0.0336818,0.501011,0.0110804,0.543506,0
38,0.00101126,9.01734e-05,0.000995546,7.50227e-05,0.497574,0.035419,0.500798,0.010395,0.543506,0
39,0.00101023,7.55753e-05,0.000996898,9.05218e-05,0.497194,0.0331832,0.500699,0.0107107,0.543506,0
40,0.00100835,6.35068e-05,0.000997445,9.93222e-05,0.497124,0.0297083,0.500719,0.00982482,0.543506,0
41,0.00100869,6.28258e-05,0.000998246,0.000110678,0.495293,0.0312102,0.50086,0.0112232,0.543506,0
42,0.00100933,6.14508e-05,0.000997138,0.000115888,0.49652,0.0365389,0.501036,0.012805,0.543506,0
43,0.00100694,5.05979e-05,0.00100486,0.000127706,0.498369,0.0402329,0.500355,0.00872511,0.543506,0
44,0.00100792,5.47387e-05,0.00100478,0.000142619,0.498736,0.0388871,0.501021,0.0114951,0.543506,0
45,0.0010079,5.46801e-05,0.00100875,0.000150745,0.498547,0.0384127,0.500999,0.0107915,0.543506,0
46,0.00100812,5.99046e-05,0.0010103,0.000144225,0.498355,0.0391469,0.500782,0.00984033,0.543506,0
47,0.00101076,7.33994e-05,0.00100251,0.000110196,0.497931,0.0375984,0.500836,0.0104409,0.543506,0
48,0.00100949,7.10556e-05,0.00100647,0.000110655,0.497585,0.0403516,0.500271,0.00792729,0.543506,0
49,0.00100952,7.53755e-05,0.00101059,0.000125823,0.497586,0.0408077,0.50011,0.00658618,0.543506,0
50,0.00100898,6.27903e-05,0.00100577,9.28828e-05,0.497439,0.0382172,0.500256,0.00569791,0.543506,0
