Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.1,1.41553e-15,0.5,0,0.45827,0
2,0.000999896,3.2932e-06,0.001,6.50521e-19,0.1,1.41553e-15,0.500027,0.00121154,0.45827,0
3,0.000999509,1.55316e-05,0.00100271,7.61283e-05,0.1,1.41553e-15,0.500016,0.00125541,0.45827,0
4,0.000998946,2.36098e-05,0.00100033,1.03092e-05,0.100016,0.000499854,0.500027,0.00121154,0.45827,0
5,0.000998946,2.36098e-05,0.0010013,2.05875e-05,0.0999891,0.000947939,0.499844,0.00430246,0.45827,0
6,0.000999154,2.54491e-05,0.0010031,5.01094e-05,0.0999973,0.00143477,0.499833,0.00431458,0.45827,0
7,0.000998879,3.23657e-05,0.00100522,5.77597e-05,0.0999532,0.00147998,0.499984,0.00100238,0.45827,0
8,0.000999645,2.01687e-05,0.00100387,4.25059e-05,0.0999388,0.00152294,0.499965,0.000808702,0.45827,0
9,0.000999975,2.27085e-05,0.00100397,5.01504e-05,0.0999252,0.00242133,0.499999,1.63227e-05,0.45827,0
10,0.000998864,2.9271e-05,0.00100302,5.36939e-05,0.100055,0.00290882,0.499999,1.4143e-05,0.45827,0
11,0.000999661,1.07269e-05,0.00100286,5.04873e-05,0.0999284,0.00393904,0.499898,0.00320295,0.45827,0
12,0.000999715,1.0865e-05,0.00100394,5.4954e-05,0.0999417,0.00401892,0.499613,0.00583992,0.45827,0
13,0.00100006,2.00146e-06,0.00100301,5.43191e-05,0.100081,0.00369094,0.499543,0.00660701,0.45827,0
14,0.001,6.50521e-19,0.00100407,5.88401e-05,0.100111,0.00449702,0.499709,0.00480187,0.45827,0
15,0.000999219,2.07323e-05,0.00100501,6.44353e-05,0.0999785,0.00305523,0.499572,0.00604475,0.45827,0
16,0.0010005,2.14185e-05,0.00100185,6.98713e-05,0.0998705,0.00292793,0.499222,0.00861376,0.45827,0
17,0.00100183,3.6135e-05,0.000998997,6.42437e-05,0.0997988,0.0033705,0.499186,0.00935165,0.45827,0
18,0.0010014,3.07156e-05,0.00100028,5.96233e-05,0.0999016,0.00419914,0.49933,0.00718086,0.45827,0
