Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.9,1.5099e-14,0.5,0,0.817333,0
2,0.000999599,3.93173e-05,0.001,6.50521e-19,0.899983,0.00159637,0.5,0,0.817333,0
3,0.000999931,5.32159e-05,0.00100095,2.85724e-05,0.899922,0.00287898,0.500057,0.00284083,0.817333,0
4,0.000999387,4.04844e-05,0.000999658,1.08183e-05,0.899851,0.00437969,0.500017,0.00345445,0.817333,0
5,0.00100102,5.36587e-05,0.000999275,1.62298e-05,0.90006,0.00313265,0.500109,0.00279892,0.817333,0
6,0.00100204,6.84553e-05,0.000998883,2.03946e-05,0.899985,0.00350402,0.500016,0.000491946,0.817333,0
7,0.00100286,8.15098e-05,0.000998558,2.17233e-05,0.899909,0.00425239,0.500005,0.00109216,0.817333,0
8,0.00100139,7.91594e-05,0.0009989,1.88578e-05,0.899908,0.0038943,0.500063,0.00293673,0.817333,0
9,0.000999584,7.47637e-05,0.000998558,2.17233e-05,0.899618,0.00750388,0.500121,0.00303805,0.817333,0
10,0.00100121,8.72544e-05,0.000998934,1.61992e-05,0.898742,0.0130708,0.500064,0.000982828,0.817333,0
11,0.000999907,0.000105091,0.000998928,1.7248e-05,0.898754,0.0113227,0.500032,0.000695693,0.817333,0
12,0.000999731,0.000106363,0.00100023,2.12205e-05,0.899218,0.00889803,0.500031,0.000695368,0.817333,0
13,0.000998188,8.09741e-05,0.00100025,7.96375e-06,0.899333,0.00804003,0.500031,0.000695368,0.817333,0
14,0.000998939,5.99043e-05,0.001,6.50521e-19,0.899022,0.00976669,0.500057,0.00106763,0.817333,0
15,0.000999252,7.51941e-05,0.000999193,1.8211e-05,0.898785,0.0103653,0.500047,0.000851222,0.817333,0
16,0.00100026,0.000105696,0.001,6.50521e-19,0.898259,0.0122477,0.500047,0.000851222,0.817333,0
17,0.000998723,0.000100303,0.000999717,8.95773e-06,0.898389,0.0113895,0.500028,0.00146114,0.817333,0
18,0.000998846,0.000106669,0.000999717,8.95773e-06,0.898536,0.0105388,0.499915,0.00288849,0.817333,0
19,0.000995931,0.000111824,0.000999776,2.48342e-05,0.898559,0.010724,0.499975,0.00177991,0.817333,0
